id,날짜,종목명,구분,수량,단가,실현손익,메모,정산반영
t01,2026-08-03,대한항공,매수,4,25850,,,False
t02,2026-08-04,대한항공,매도,1,27050,1200,,False
t03,2026-08-04,NAVER,매수,1,205500,,,False
t04,2026-08-04,NAVER,매도,1,226000,20500,,False
t05,2026-08-04,두산에너빌리티,매수,1,71200,,,False
t06,2026-08-04,CJ대한통운,매수,1,75500,,,False
t07,2026-08-04,아세아제지,매수,10,7370,,,False
t08,2026-08-04,대한화섬,매수,1,110500,,,False
t09,2026-08-04,삼립,매수,1,39750,,,False
t10,2026-08-04,GS리테일,매수,5,24400,,,False
t11,2026-08-04,서흥,매수,1,21400,,,False
t12,2026-08-04,삼성중공업,매수,5,21250,,,False
t13,2026-08-04,동서,매수,5,25200,,,False
t14,2026-08-04,한국가스공사,매수,2,34600,,,False
t15,2026-08-04,미스토홀딩스,매수,2,44050,,,False
t16,2026-08-04,AJ네트웍스,매수,20,4165,,,False
t17,2026-08-04,CJ제일제당,매수,1,193900,,,False
t18,2026-08-04,코스맥스,매수,1,195600,,,False
t19,2026-08-04,HK이노엔,매수,2,38900,,,False
t20,2026-08-04,오스테오닉,매수,15,4950,,,False
t21,2026-08-04,롯데웰푸드,매수,1,101800,,,False
t22,2026-08-04,한일시멘트,매수,7,14030,,,False
t23,2026-08-04,우리금융지주,매수,3,33150,,,False
t24,2026-08-04,카카오뱅크,매수,5,21750,,,False
t25,2026-08-04,KCC글라스,매수,5,22650,,,False
t26,2026-08-06,GS리테일,매도,1,28375,3975,,False
t27,2026-08-06,서흥,매도,1,23500,2100,,False
t28,2026-08-06,두산에너빌리티,매도,1,76400,5200,,False
t29,2026-08-06,엘오티베큠,매수,5,8500,,,False
t30,2026-08-06,월덱스,매수,2,29300,,,False
t31,2026-08-06,JW생명과학,매수,10,11290,,,False
t32,2026-08-06,DL이앤씨,매수,1,69700,,,False
t33,2026-08-06,KCC글라스,매도,2,24300,3300,,False
t34,2026-08-06,동진쎄미켐,매수,1,41800,,,False
t35,2026-08-07,GS리테일,매도,1,28375,3975,,False
t36,2026-08-07,서흥,매수,1,23400,,,False
t37,2026-08-07,NAVER,매수,1,209000,,,False
t38,2026-08-07,성광벤드,매수,3,26100,,,False
t39,2026-08-07,한국단자,매수,2,62600,,,False
t40,2026-08-07,원익홀딩스,매수,5,18414,,,False
t41,2026-08-07,아이센스,매수,4,18290,,,False
t42,2026-08-07,롯데웰푸드,매도,1,112500,10700,,False
